timestamp,area_pixeles,temp_min,temp_max,temp_avg
1772697637.1728344,1308,5.0,255.0,73.18
1772697637.7502553,1077,15.0,255.0,128.05
1772697637.8464167,1330,2.0,195.0,68.16
1772697637.8464167,852,9.0,197.0,105.36
1772697637.847804,1916,7.0,255.0,133.16
1772697638.1513863,1306,5.0,255.0,62.5
1772697638.3422587,1296,6.0,255.0,58.39
1772697638.5192595,991,209.0,233.0,223.43
1772697638.5192595,13836,0.0,255.0,201.1
1772697638.6302907,1880,209.0,241.0,231.63
1772697638.6322944,2667,27.0,255.0,178.9
1772697638.6332943,18746,0.0,255.0,209.51
1772697638.8068864,801,1.0,204.0,60.65
1772697638.8134441,10170,1.0,255.0,140.05
1772697638.814515,10922,26.0,255.0,207.43
1772697638.9988704,14997,4.0,255.0,93.44
1772697639.000043,26748,0.0,255.0,208.52
1772697639.207447,2135,4.0,240.0,104.79
1772697639.207447,8074,49.0,252.0,185.6
1772697639.2087626,10224,5.0,255.0,95.75
1772697639.3022592,2906,14.0,255.0,150.58
1772697639.3985534,899,61.0,250.0,203.88
1772697639.3999016,2023,10.0,255.0,88.65
1772697639.4946363,909,194.0,254.0,225.56
1772697639.4956634,13851,4.0,233.0,103.92
1772697639.4970899,6618,17.0,255.0,158.51
1772697639.5913856,53971,0.0,255.0,150.85
1772697639.7022533,7725,0.0,255.0,178.88
1772697639.8780913,10927,0.0,255.0,186.49
1772697639.8800943,3669,2.0,255.0,135.43
1772697639.974282,3412,9.0,255.0,206.01
1772697639.9757924,2499,1.0,255.0,114.38
1772697640.0716712,22316,0.0,255.0,107.24
1772697640.0731807,7721,32.0,255.0,213.83
1772697640.1825252,8085,0.0,255.0,120.51
1772697640.1837175,1365,26.0,255.0,179.55
1772697640.294784,6219,0.0,255.0,166.32
1772697640.5527215,18958,0.0,255.0,154.92
1772697640.555718,2856,12.0,255.0,135.2
1772697640.5968034,18147,0.0,255.0,170.29
1772697640.5987947,6231,0.0,255.0,135.59
1772697640.6818278,29455,2.0,255.0,206.48
1772697640.6831658,32440,0.0,255.0,62.33
1772697640.7904162,4299,5.0,249.0,183.5
1772697640.7919226,15983,0.0,255.0,110.0
1772697640.9822166,1756,10.0,223.0,117.8
1772697640.9832377,6756,0.0,255.0,177.55
1772697641.0781143,12014,2.0,237.0,131.84
1772697641.0796995,21606,0.0,255.0,205.65
1772697641.1742783,16172,1.0,233.0,104.31
1772697641.1752782,23808,0.0,255.0,217.18
1772697641.2707791,2250,3.0,246.0,175.05
1772697641.2717805,2412,8.0,254.0,91.73
1772697641.3817372,1322,6.0,233.0,166.59
1772697641.3827379,1564,40.0,238.0,108.15
1772697641.383913,2671,18.0,255.0,150.94
1772697641.4627004,1118,8.0,190.0,74.87
1772697641.733762,1372,22.0,253.0,116.57
